id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party,Street Code,hip-hop,energetic,0.78,95,0.72,0.85,0.08
12,Velvet Night,Sienna Gold,r&b,romantic,0.55,88,0.74,0.70,0.32
13,Morning Sonata,Clara Voss,classical,peaceful,0.22,58,0.68,0.28,0.97
14,Gravel Road Home,Dusty Pine,country,nostalgic,0.48,104,0.62,0.55,0.76
15,Iron Horizon,Redshift,metal,angry,0.97,168,0.22,0.52,0.04
16,Drop Zone,Axiom,edm,energetic,0.95,140,0.66,0.92,0.03
17,Hollow Creek,Wren Folk,folk,melancholic,0.31,74,0.38,0.42,0.88
18,Three AM Blues,Lowdown Lee,blues,sad,0.34,68,0.30,0.45,0.82
19,Slow Tide,Coral Roots,reggae,peaceful,0.45,82,0.76,0.68,0.55
20,Golden Hour,Velma Ray,soul,romantic,0.60,96,0.80,0.72,0.48
